№ п/п,Комбинат,Местоположение,Название должности,Требования,Обязанности,Условия работы,Зарплата,Категория позиции,Тип занятости:,График работы,Сфера деятельности,Кому направить резюме (e-mail),,1/10/2020
17,СВЕЗА Тюмень,Тюмень,Починщик шпона и фанеры,"• Среднее образование;
• Приветствуется опыт работы на любых автоматических линиях, современных станках.","• Осуществление процесса починки шпона на станке;
• Заправка починочных полос шпона в станок;
• Скрепление степлером трещин в шпоне;
•  Участие в устранении неполадок в работе станка, уборка обслуживаемого оборудования;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",от 27 000,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
18,СВЕЗА Тюмень,Тюмень,Оператор производственной линии,"• Среднее образование;
• Опыт работы на автоматических станках/промышленном оборудовании  будет являться преимуществом.","• Работа на промышленном оборудовании (автоматической линии);
• Обеспечение выполнения плана по  выпуску продукта (фанеры);
• Контроль качества входящего/выходящего продукта (фанеры);
• Проведение профилактической уборки оборудования;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",от 27 000,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],1
19,СВЕЗА Тюмень,Тюмень,Слесарь по ремонту,"• Начальное профессиональное образование;
• Знание слесарного дела;
• Опыт работы от 1 года.","• Проверка технического состояния оборудования;
• Ремонт, монтаж, демонтаж, испытание, регулирование, наладка оборудования;
• Выявление и устранение неполадок и дефектов во время эксплуатации оборудования и при проверке в процессе ремонта;
• Слесарная обработка деталей и узлов с применением оборудования, приспособлений и инструментов слесарной мастерской;
• Определение неисправностей в работе механизмов и устранение их.
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",от 34 000,Рабочие,Полная занятость,Полный день,Техническое развитие ,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],1
20,СВЕЗА Тюмень,Тюмень,Кладовщик,"• Среднее профессиональное образование;
• Стаж работы в области складского хозяйства не менее 1 года;
• Навыки работы на компьютере;                                                            •  Опыт управления автопогрузчиком будет преимуществом.","• Приемка готовой продукции на склад;
• Ввод данных  в информационную сеть ежедневно;
• Размещение готовой продукции;
• Обеспечение сохранности материальных ценностей;
• Проверка маркировки и упаковки готовой продукции;
• Снятие наличия готовой продукции на складе;
• Ежесменное оформление приходных и расходных накладных, выборочная проверка листов в пачках фанеры, поступающей на склад;
• Руководство работой по погрузке, выгрузке готовой продукции.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",от 29 000,Рабочие,Полная занятость,Сменный график,Закупки и логистика,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],1
21,СВЕЗА Тюмень,Тюмень,Слесарь-электрик  ,"• Среднее профессиональное образование;
• Опыт работы по специальности не менее  2- х  лет;
• Группа по электробезопасности IV.","• Обеспечение исправного состояния, безаварийную и  надёжную работу обслуживаемых устройств и оборудования, правильную их эксплуатацию, своевременный и качественный ремонт  оборудования;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности;
• Оказание помощи в монтаже, ремонте и наладке  устройств и систем автоматического управления и регулирования технологических процессов.                                                                    ","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",от 34 000,Рабочие,Полная занятость,Сменный график,Техническое развитие ,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
22,СВЕЗА Тюмень,Тюмень,Машинист рубительной машины,"• Среднее образование;
• Опыт работы на любых автоматических линиях, современных станках.","• Работа на рубительной машине;
• Замена ножей и линейки;
• Выполнение плановых заданий и соблюдение технологических процессов;
• Поддержание технического состояния, бесперебойной работы и безопасной эксплуатации рабочего оборудования, систем и механизмов;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности;
• Уборка и поддержание порядка на участке;
• Участие во внедрении инструментов и методов Бережливого производства.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",22 000,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
23,СВЕЗА Тюмень,Тюмень,Техник по ремонту и обслуживанию зданий и сооружений,"• Среднее профессиональное по специальности ""Каменщик"", ""Отделочник"", ""Сантехник"" или ""Электрик"";
• Опыт работы от 5 до 10 лет в строительстве.
•  Умение читать чертежи. ","•  Выполнение общестроительных работ. Умение выполнять кирпичную кладку стен, перегородок;
• Выполнение столярных работ. Небольшой ремонт фурнитуры дверных блоков и т.п.;
•  Выполнение санитарно-технических работ. Замена водопроводных кранов, вентилей, подводок, соединений внутренних инженерных сетей;
• Выполнение отделочных работ. Небольшой ремонт отделочных покрытий внутренних стен в помещениях;
•  Выполнение электротехнических работ. Замена выключателей, розеток, лампочек.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",-,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
24,СВЕЗА Тюмень,Тюмень,Вентелевой гидравлического пресса,"• Среднее образование;
• Опыт работы в деревообработке будет являться преимуществом.","• Управление прессом и вспомогательным оборудованием;
• Контроль процесса прессования и качества продукта;
• Выполнение плана с соответствующим выходным качеством продукции ;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",-,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
25,СВЕЗА Тюмень,Тюмень,Станочник ребросклеивающего станка,"• Среднее образование;
• Опыт работы приветствуется, но необязателен. ","• Обеспечение подачи неформатного шпона из стоп на конвейер;
• Осуществления контроля за процессом ребросклеивания;
• Обеспечение устранение дефектов ребросклеивания;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",-,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
26,СВЕЗА Тюмень,Тюмень,Электросварщик,"• Среднее профессиональное образование;
• Опыт выполнения сварочных работ не менее 6 месяцев.","• Выполнение сварки сложных и ответственных аппаратов, узлов, технологических конструкций и трубопроводов из различных сталей, цвет. металлов и сплавов;
• Наплавка дефектов деталей машин, механизмов и конструкций;
• Наплавка деталей и узлов;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",-,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
27,СВЕЗА Тюмень,Тюмень,Стажер производства шпона,"Наши ожидания:
• Студент 3-4 курса, бакалавр, магистр любого ВУЗа (студент ТИУ, ГАУСУЗ будет иметь преимущество);
• Коммуникабельность, открытость, внимательность;
• Владение ПК – MS Office.
","Проекты и зона ответственности:
• Изучение и разработка стандартных операционных процедур на ключевых единицах оборудования производства шпона;
• Участие в разработке документов и внедрении TPM (Total Productive Maintenance) в условиях действующего производства.
","• Возможность получения опыта в крупной российской компании, ведущей бизнес в 80 странах мира;
• Конкурентное вознаграждение;
• Рекомендательное письмо по итогам стажировки;
• Обучение и участие в проектах компании.
",15 000,РСС,Стажировка,Гибкий график,"Начальный уровень, Мало опыта ",lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
28,СВЕЗА Тюмень,Тюмень,Стажер производства фанеры  ,"Наши ожидания:
• Студент 3-4 курса, бакалавр, магистр любого ВУЗа (студент ТИУ, ГАУСУЗ будет иметь преимущество);
• Коммуникабельность, открытость, внимательность;
• Владение ПК – MS Office.
","
Проекты и зона ответственности:
• Изучение и разработка стандартных операционных процедур на ключевых единицах оборудования производства фанеры;
• Участие в разработке документов и внедрении TPM (Total Productive Maintenance) в условиях действующего производства.
","• Возможность получения опыта в крупной российской компании, ведущей бизнес в 80 странах мира;
• Конкурентное вознаграждение;
• Рекомендательное письмо по итогам стажировки;
• Обучение и участие в проектах компании.
",15 000,РСС,Стажировка,Гибкий график,"Начальный уровень, Мало опыта ",lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
